Arbejdes aktivt på,I program,"Programpunkt er klar, med deltagere",Titel,Programpunkts-beskrivelse,,Begrænsninger,Ansvarlig,Deltagere
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,